S	T
ITGA8	ITGA1
SDC1	COL3A1
TMOD1	TNNC1
IL6	TNC
ANXA1	CXCL3
ADRB2	PTGER4
NCAPG	CDC6
GPIHBP1	THY1
CCL4	P2RY14
CYR61	MSLN
CDKN3	NCAPG
SMC4	MCM4
DYNC1I2	SPTBN1
NEDD4L	TGFBR2
CX3CR1	PPBP
P2RY14	S1PR1
CXCL2	ANXA1
DYNC1I2	KIF11
CCNE2	CCNB2
GATA2	FOS
CX3CR1	P2RY14
KDELR3	KIF20A
CDKN3	BUB1
COL3A1	MSR1
TEK	FYN
NUSAP1	KIF2C
EDN1	EGFR
CLU	SERPING1
PBK	KIF4A
CHEK1	CDK1
FRK	ACTR2
FPR1	CX3CR1
SDC1	FGFR4
CAV1	ITGA1
DYNC1I2	KIF4A
FGR	ELMO1
RNF182	RNF144B
PLCE1	RRAS
ACVRL1	CAV1
COL5A2	PCOLCE2
KRT80	KRT6A
NTNG1	THY1
MMRN1	PPBP
ITGA1	KDR
FGR	NGEF
LMO7	HECW2
FPR2	P2RY14
MCM3	SMC4
PLCB4	PIP5K1B
CDKN2A	FOXM1
CDK1	PRKCE
FZD4	ARRB1
RNF182	UBE2C
FZD4	AGTR1
FYN	DPYSL2
COL5A1	LEPREL1
UBE2C	ZBTB16
ZBTB16	HECW2
FPR2	CX3CR1
GPIHBP1	NEGR1
SDC1	MMP1
PRKCB	GNG11
HIST1H2BD	CCNB1
CXCL2	C5AR1
TNC	VCAN
ADAMTSL4	CFP
TNC	CP
PROS1	SERPING1
FPR1	CXCL2
PCOLCE2	COL1A1
PLAU	EGFR
C5AR1	CXCL5
HIST1H2BD	CCNA2
COL5A1	ITGA1
TGFBR2	SPTBN1
SCN7A	ANK2
P2RY13	S1PR1
KDELR3	KIF4A
LMO7	NEDD4L
RHOJ	RHOB
PTPRB	CEACAM1
ALOX5	PTGS2
CYR61	WFS1
WASF3	KDR
KRT4	KRT80
P2RY13	CXCL13
SEMA5A	CFP
CLU	VWF
FYN	NGEF
COL5A2	ITGA1
IL6	FOS
HS6ST2	SDC1
SMC4	MCM2
FPR1	P2RY14
KIF2C	MKI67
ITGA1	MYL9
ITGAL	CEACAM1
CLDN5	CLDN11
RRM2	NDC80
FYN	ITGA1
PLCE1	PIP5K1B
SPP1	CP
S1PR1	GNG11
FUT2	FUT3
FPR1	S1PR1
P2RY14	PPBP
PPBP	TCN1
FPR2	CXCL5
GPIHBP1	LSAMP
CX3CR1	S1PR1
SPP1	TNC
ARRB1	VWF
NEDD4L	ZBTB16
CFD	PPBP
ADAMTSL4	THBS2
RAP1A	PTPRB
CCL4	S1PR1
SPP1	IGFBP3
FYN	MS4A2
RHOB	ARHGAP31
EDN1	ANXA1
ZBTB16	RNF144B
MSLN	IGFBP3
HBB	CFP
DES	TMOD1
SBSPON	ADAMTSL3
IL6	IGFBP3
PROK2	GPR65
RECK	NTNG1
GRIA1	PRKCB
MMP9	CFP
PPBP	CXCL3
RNF182	ZBTB16
CLEC12A	OLR1
CCL4	CX3CR1
FPR2	CXCL2
AGTR1	SSTR1
CFD	VWF
METTL7A	HBB
CCL4	CXCL13
CDK1	HIST1H2BD
CCNE2	CDKN1C
ASPM	NCAPH
CXCR2	P2RY14
CXCL2	PPBP
SDC1	COL1A2
SDC1	COL5A2
LDLR	EGFR
KDELR3	KIF2C
FOXM1	TPX2
CYR61	GOLM1
IGFBP3	CP
CX3CR1	CXCR2
IGFBP3	WFS1
ASPM	KIAA0101
COL5A1	PCOLCE2
KIF2C	KDELR2
ANXA1	CXCL13
ANXA1	CXCL5
ETS1	ID1
KDELR3	KIF11
ACTR2	SH3GL3
FRK	PLAC8
MSLN	CP
RAP1A	ITGAL
PLCB4	KISS1R
ADRB1	VIPR1
SYNE1	HIST1H2BD
IL6	VCAN
SORBS1	MYL9
SORBS1	ITGA1
ECT2	NDC80
GFPT1	PPAT
FPR2	OLR1
ITGA1	EGFR
TGFBR2	PPP1R15A
PPAP2B	SGPP2
HECW2	RNF144B
KIF20A	KDELR2
ANXA1	F2RL1
COL6A6	ITGA1
NTNG1	VNN2
COL5A2	COL6A6
GPIHBP1	VNN2
CDH1	MMP7
PRC1	RHOB
MMRN1	SERPING1
PLCB4	EDNRB
ANXA1	CXCR2
RAP1A	CLEC12A
SOX2	FGF2
THBS2	ADAMTSL3
COL1A2	PCOLCE2
LPL	PPARG
CX3CR1	C5AR1
